"picture","agreement","Hstats"
"bite",1,"0"
"carry",0.98,"0.141440542541821"
"catch",0.02,"3.01338885640349"
"chase",0.96,"0.282292189082415"
"drag",0.8,"1.18631371386483"
"drop",0.84,"1.0192118045973"
"dry",0.54,"1.59395425983736"
"hug",0.92,"0.467081440159003"
"ignore",0.48,"3.0679764393853"
"inspect",0.4,"2.49883007355711"
"kick",0.96,"0.242292189082415"
"kiss",0.92,"0.522179190202273"
"lick",0.6,"2.34952633232307"
"lift",0.78,"1.32124245906217"
"nudge",0.44,"1.95293503961937"
"pat",0.58,"2.24300202342613"
"pay",0.7,"1.57335807791325"
"photograph",0.56,"2.34444687389046"
"poke",0.54,"2.37099444002965"
"pull",0.3,"3.25590926070274"
"punch",0.68,"1.62438145772449"
"push",0.58,"1.21201475749217"
"rob",0.06,"2.15733352283434"
"sketch",0.08,"1.22631371386483"
"splash",0.92,"0.522179190202273"
"spray",0.88,"0.744458615330634"
"stalk",0.06,"4.05417732066744"
"teach",0.66,"1.84436057091161"
"tickle",0.56,"2.32934912384719"
"trip",0.84,"0.804114054554027"
"wash",0.36,"2.0884804996482"
"watch",0.12,"2.71378962207784"
